state,parlimen,dun,total,male_18_20,female_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14
Pulau Pinang,P.048 Bukit Bendera,N.24 Kebun Bunga,24528,354,341,1325,1400,1721,1726,1999,1997,2415,2549,1999,2358,1118,1764,452,790,83,137,24527,0,0,1,21369
Pulau Pinang,P.048 Bukit Bendera,N.25 Pulau Tikus,23325,376,377,1517,1505,1949,1905,1751,1895,1774,2109,1631,2103,1132,1636,465,851,128,221,22864,324,130,7,18423
Pulau Pinang,P.049 Tanjong,N.26 Padang Kota,15373,151,148,603,526,807,731,1127,944,1462,1352,1739,1733,1054,1197,423,571,543,262,15267,46,60,0,14476
Pulau Pinang,P.049 Tanjong,N.27 Pengkalan Kota,21743,240,234,1125,1087,1551,1582,1783,1731,2242,2210,2262,2389,1086,1366,248,421,84,102,21743,0,0,0,20069
Pulau Pinang,P.049 Tanjong,N.28 Komtar,15687,124,129,659,505,1143,760,1172,983,1589,1403,1842,1786,1043,1259,332,527,263,168,14888,0,797,2,15041
Pulau Pinang,P.050 Jelutong,N.29 Datok Keramat,26886,509,460,2001,1757,2618,2213,2313,2304,2311,2492,2005,2355,1009,1469,294,536,113,127,26037,0,847,2,22630
Pulau Pinang,P.050 Jelutong,N.30 Sungai Pinang,33995,861,848,2972,2963,3389,3365,2841,2924,2686,2809,2331,2750,1075,1384,238,428,61,70,33992,0,0,3,26917
Pulau Pinang,P.050 Jelutong,N.31 Batu Lancang,33108,640,591,2410,2230,2917,2935,2980,3227,2583,3031,2246,2870,1266,1819,432,707,60,164,33025,0,79,4,27444
Pulau Pinang,P.051 Bukit Gelugor,N.32 Seri Delima,31562,702,712,2426,2201,2750,2612,2857,2929,2384,2808,1842,2523,1304,1927,516,801,91,177,31482,67,0,13,25232
Pulau Pinang,P.051 Bukit Gelugor,N.33 Air Itam,23098,495,419,1693,1574,2062,1947,1919,1873,1864,2213,1689,2121,932,1295,282,533,68,119,23017,0,78,3,19622
Pulau Pinang,P.051 Bukit Gelugor,N.34 Paya Terubong,62474,1648,1599,6105,5905,6684,6422,5954,6231,4564,5357,3191,4006,1508,2117,403,655,39,86,62463,0,0,11,46741
Pulau Pinang,P.052 Bayan Baru,N.35 Batu Uban,43132,1233,1112,4194,3968,4465,4529,3872,4119,3040,3629,2384,2911,1196,1552,317,493,42,76,42818,58,243,13,31924
Pulau Pinang,P.052 Bayan Baru,N.36 Pantai Jerejak,29730,704,671,2527,2377,3141,2939,2528,2672,2173,2585,2022,2488,1007,1248,198,352,29,69,29641,0,79,10,23646
Pulau Pinang,P.052 Bayan Baru,N.37 Batu Maung,46778,1407,1440,5119,4572,5385,5205,4261,4446,3293,3699,2326,2762,985,1206,230,366,29,47,44916,1854,0,8,35210
Pulau Pinang,P.053 Balik Pulau,N.38 Bayan Lepas,38866,1567,1414,4765,4510,4145,3849,3157,3362,2837,2997,1874,2177,775,880,177,297,39,44,38716,0,144,6,26570
Pulau Pinang,P.053 Balik Pulau,N.39 Pulau Betong,23578,744,602,2623,2364,2627,2372,1991,2010,1865,1897,1232,1391,589,726,170,298,38,39,22956,0,621,1,18177
Pulau Pinang,P.053 Balik Pulau,N.40 Telok Bahang,17820,483,502,1644,1639,1824,1757,1602,1602,1552,1581,1048,1160,501,550,113,203,32,27,17799,0,20,1,14339
Perak,P.054 Gerik,N.01 Pengkalan Hulu,20157,638,620,2699,2150,2659,2372,1756,1516,1308,1299,1017,953,363,442,113,179,33,40,18494,839,823,1,15369
Perak,P.054 Gerik,N.02 Temengor,27408,1074,976,3674,3259,3586,3144,2356,2010,1759,1510,1232,1267,523,586,150,242,27,33,26260,866,280,2,20534
Perak,P.055 Lenggong,N.03 Kenering,21596,654,620,2261,2298,2897,2857,1996,1703,1347,1299,1044,1154,504,584,115,199,31,33,21583,0,12,1,16965
Perak,P.055 Lenggong,N.04 Kota Tampan,15354,368,346,1265,1369,1729,1737,1408,1279,1109,1116,887,1073,488,633,150,302,40,55,15315,0,39,0,12787
Perak,P.056 Larut,N.05 Selama,22339,708,687,2547,2530,2539,2537,1920,1702,1510,1588,1131,1252,453,697,160,306,23,49,22148,0,190,1,16483
Perak,P.056 Larut,N.06 Kubu Gajah,21358,598,583,2253,2224,2537,2530,2033,1832,1342,1408,1048,1191,529,711,140,304,33,62,21343,0,12,3,16615
Perak,P.056 Larut,N.07 Batu Kurau,22022,727,610,2329,2324,2393,2529,2014,1900,1512,1578,1083,1251,547,766,140,250,29,40,21999,0,22,1,16355
Perak,P.057 Parit Buntar,N.08 Titi Serong,35900,1107,1073,3766,3728,4059,3879,3457,3247,2684,2612,1646,2028,751,1184,188,364,56,71,35859,0,38,3,26726
Perak,P.057 Parit Buntar,N.09 Kuala Kurau,32602,864,758,2972,2882,3247,3073,3214,2818,3117,2721,1949,1963,899,1281,233,454,76,81,32542,0,58,2,25134
Perak,P.058 Bagan Serai,N.10 Alor Pongsu,28656,972,938,3164,2945,3194,3148,2534,2487,2131,2106,1400,1584,587,900,152,300,53,61,28636,0,18,2,20901
Perak,P.058 Bagan Serai,N.11 Gunong Semanggol,27396,903,804,3031,2864,2973,2767,2434,2292,2201,1995,1314,1483,645,992,186,398,51,63,27103,0,292,1,20510
Perak,P.058 Bagan Serai,N.12 Selinsing,24241,739,694,2559,2504,2755,2711,2317,2154,1848,1868,1103,1240,503,774,123,258,38,53,24223,0,18,0,17882
Perak,P.059 Bukit Gantang,N.13 Kuala Sepetang,40222,1220,1199,4282,4471,4499,4469,3449,3221,3008,2868,2322,2428,984,1123,191,378,32,78,40201,0,20,1,29294
Perak,P.059 Bukit Gantang,N.14 Changkat Jering,37003,1047,1046,4041,3974,4557,4585,3220,3159,2222,2619,1885,2233,815,988,183,337,48,44,36975,0,21,7,26848
Perak,P.059 Bukit Gantang,N.15 Trong,17028,454,417,1615,1622,1991,1906,1653,1423,1297,1159,891,999,464,638,150,250,52,47,16991,0,37,0,13731
Perak,P.060 Taiping,N.16 Kamunting,39850,1027,997,4433,3926,5157,5132,3300,3204,2353,2766,2038,2500,970,1246,256,429,53,63,36730,3076,38,6,30000
Perak,P.060 Taiping,N.17 Pokok Assam,36513,728,674,3038,2782,3758,3483,2918,2772,2519,2722,2699,3006,1635,2032,514,885,148,200,35187,904,413,9,28590
Perak,P.060 Taiping,N.18 Aulong,45203,1194,1119,4462,4397,4870,4709,3809,3599,2976,3286,2825,3126,1476,1864,449,785,93,164,45155,4,41,3,32139
Perak,P.061 Padang Rengas,N.19 Chenderoh,17782,443,407,1703,1616,1978,1940,1594,1516,1357,1323,982,1173,502,650,176,323,30,69,17758,0,23,1,14420
Perak,P.061 Padang Rengas,N.20 Lubok Merbau,20904,579,546,2137,1963,2370,2270,1822,1624,1530,1517,1186,1403,543,761,178,358,47,70,20884,0,18,2,16576
Perak,P.062 Sungai Siput,N.21 Lintang,33107,1032,1059,3418,3426,3584,3468,2939,2780,2528,2315,1750,2043,884,1026,267,456,59,73,33064,0,42,1,25389
Perak,P.062 Sungai Siput,N.22 Jalong,39288,998,962,3712,3481,3992,3827,3728,3549,3324,3162,2329,2447,1133,1454,417,586,79,108,39037,0,250,1,29613
Perak,P.063 Tambun,N.23 Manjoi,86266,3165,3057,9885,9965,9580,9605,7313,7550,5543,5907,4161,4998,1969,2343,421,633,71,100,86205,0,49,12,57817
Perak,P.063 Tambun,N.24 Hulu Kinta,74292,2541,2319,9093,8378,8983,8339,6100,6023,5038,5344,3700,3971,1472,1782,422,608,80,99,69597,2138,2547,10,49946
Perak,P.064 Ipoh Timor,N.25 Canning,41021,604,558,2487,2385,3550,3111,3799,3563,3262,3602,2812,3578,2094,2797,930,1372,185,332,40092,593,316,20,32215
Perak,P.064 Ipoh Timor,N.26 Tebing Tinggi,37223,1081,1056,3867,3635,4681,4081,3279,3032,2427,2385,2281,2207,1004,1188,327,408,176,108,35658,0,1559,6,26052
Perak,P.064 Ipoh Timor,N.27 Pasir Pinji,39934,577,542,2276,2088,2998,2757,3318,3349,3415,3585,3361,3898,2214,2866,873,1343,170,304,39841,0,82,11,33219
Perak,P.065 Ipoh Barat,N.28 Bercham,52750,1357,1306,5511,5047,5601,5496,4709,4636,4048,4446,2820,3393,1470,1669,453,657,57,74,52637,0,106,7,36116
Perak,P.065 Ipoh Barat,N.29 Kepayang,25190,375,348,1510,1363,2028,1915,1936,1857,1919,2032,2107,2366,1567,1837,652,885,229,264,24484,557,147,2,20864
Perak,P.065 Ipoh Barat,N.30 Buntong,36714,796,740,2849,2780,3015,2986,3180,3171,3040,3119,2699,3152,1555,1945,479,806,202,200,36661,0,48,5,27894
Perak,P.066 Batu Gajah,N.31 Jelapang,35088,920,884,3228,3212,3368,3249,3426,3394,2966,2867,1983,2197,1060,1345,372,481,47,89,35029,0,55,4,24729
Perak,P.066 Batu Gajah,N.32 Menglembu,38689,837,790,3173,2925,3382,3082,3682,3388,3506,3387,2817,2921,1613,1854,484,659,68,121,38604,0,83,2,29743
Perak,P.066 Batu Gajah,N.33 Tronoh,38119,1099,1066,3867,3557,3480,3309,3537,3148,3248,2802,2618,2366,1205,1424,467,716,96,114,37675,22,421,1,26927
Perak,P.067 Kuala Kangsar,N.34 Bukit Chandan,22194,605,592,2288,2144,2364,2266,1947,1819,1538,1673,1332,1450,556,825,218,409,85,83,21876,0,314,4,17311
Perak,P.067 Kuala Kangsar,N.35 Manong,24791,682,633,2472,2338,2863,2778,2224,2147,1738,1711,1306,1557,678,894,246,399,49,76,24771,0,18,2,19643
Perak,P.068 Beruas,N.36 Pengkalan Baharu,22573,601,529,2129,1950,2402,2444,2173,1867,1722,1604,1328,1513,688,916,189,391,58,69,22558,0,14,1,18076
Perak,P.068 Beruas,N.37 Pantai Remis,44432,1241,1213,4336,4101,4742,4577,4236,3783,3519,3191,2610,2787,1380,1621,350,558,62,125,44338,0,90,4,32346
Perak,P.068 Beruas,N.38 Astaka,41244,1213,1150,4077,3860,4194,4014,3650,3458,3199,3076,2538,2520,1288,1617,444,687,94,165,41163,0,74,7,29372
Perak,P.069 Parit,N.39 Belanja,17767,359,352,1447,1332,1852,1779,1836,1634,1434,1474,1120,1229,489,763,166,393,47,61,17740,0,26,1,14946
Perak,P.069 Parit,N.40 Bota,30148,1085,1086,3770,3634,3623,3521,2374,2243,2025,2099,1518,1448,465,661,137,382,23,54,29699,110,339,0,20964
Perak,P.070 Kampar,N.41 Malim Nawar,29701,677,650,2367,2270,2636,2342,2731,2333,2986,2361,2274,2173,1234,1365,457,616,101,128,29635,0,66,0,22918
Perak,P.070 Kampar,N.42 Keranji,28248,602,554,2393,2100,2684,2417,2573,2375,2330,2239,2002,2088,1143,1385,450,643,113,157,27957,0,286,5,21605
Perak,P.070 Kampar,N.43 Tualang Sekah,31945,838,705,2840,2851,3337,3259,2960,2802,2568,2527,1981,2204,897,1226,286,511,72,81,31919,0,26,0,24913
Perak,P.071 Gopeng,N.44 Sungai Rapat,47931,1720,1597,5934,5669,5245,5233,4041,4081,3067,3498,2289,2646,903,1238,253,420,37,60,46841,852,230,8,31878
Perak,P.071 Gopeng,N.45 Simpang Pulai,62756,1836,1776,6815,6631,6674,6657,5106,5240,4508,4920,3508,3887,1733,1981,547,750,71,116,62682,0,58,16,43055
Perak,P.071 Gopeng,N.46 Teja,32970,1062,995,3393,3293,3263,3093,2969,2865,2645,2476,1851,1970,981,1146,301,474,88,105,32931,0,36,3,24234
Perak,P.072 Tapah,N.47 Chenderiang,30006,813,794,3252,2974,3455,3322,2520,2297,2176,2065,1748,1808,819,967,301,486,103,106,29021,656,325,4,22591
Perak,P.072 Tapah,N.48 Ayer Kuning,31940,870,762,3176,2980,3733,3499,2851,2703,2302,2353,1800,1965,864,1180,290,460,70,82,31277,0,663,0,24537
Perak,P.073 Pasir Salak,N.49 Sungai Manik,35520,1049,1011,3721,3466,4159,3868,3267,2990,2687,2504,1817,1938,929,1225,243,488,61,97,35469,0,47,4,26310
Perak,P.073 Pasir Salak,N.50 Kampong Gajah,39241,1245,1211,4375,4328,4807,4716,3667,3413,2597,2527,1599,1915,801,1260,200,443,57,80,39207,0,34,0,28361
Perak,P.074 Lumut,N.51 Pasir Panjang,62418,2430,2376,7904,7594,7379,7087,4825,4717,4081,4431,3228,3196,1099,1354,210,378,57,72,61892,72,444,10,42402
Perak,P.074 Lumut,N.52 Pangkor,30554,762,582,4500,2263,5241,3633,3544,2760,1545,1495,1249,1273,598,644,135,227,57,46,22148,8327,76,3,24755
Perak,P.075 Bagan Datuk,N.53 Rungkup,19670,418,387,1812,1524,2374,2143,1874,1547,1505,1356,1137,1255,682,979,175,376,56,70,19638,0,30,2,16067
Perak,P.075 Bagan Datuk,N.54 Hutan Melintang,38513,1023,986,4093,3835,4983,4580,3456,3013,2576,2725,1923,2281,938,1294,237,402,76,92,38424,2,86,1,31242
Perak,P.076 Teluk Intan,N.55 Pasir Bedamar,39117,722,715,3065,2890,3918,3729,3344,3401,2914,2987,2813,3133,1680,2123,510,806,169,198,39110,0,0,7,31439
Perak,P.076 Teluk Intan,N.56 Changkat Jong,48105,1532,1378,5390,5385,6071,5761,3851,3784,2978,3334,2339,2823,1059,1452,264,509,79,116,47709,0,390,6,35048
Perak,P.077 Tanjong Malim,N.57 Sungkai,23375,583,606,2255,2066,2435,2386,2043,1870,1778,1677,1454,1546,881,982,268,396,62,87,23318,0,56,1,17128
Perak,P.077 Tanjong Malim,N.58 Slim,30581,734,724,2709,2539,4179,3880,3233,2908,1685,1701,1390,2028,1112,1223,176,274,47,39,30285,0,296,0,23377
Perak,P.077 Tanjong Malim,N.59 Behrang,39917,1258,1249,4445,4184,4789,4505,3565,3279,2632,2515,1893,2301,1045,1248,316,463,118,112,39784,58,73,2,27963
Pahang,P.078 Cameron Highlands,N.01 Tanah Rata,26838,773,763,2792,2656,3104,2870,2239,2145,1970,1900,1665,1700,764,801,205,308,90,93,26493,105,235,5,19505
Pahang,P.078 Cameron Highlands,N.02 Jelai,19182,881,881,2574,2452,2232,2127,1703,1646,1192,1069,558,654,343,479,159,185,24,23,19168,0,13,1,12543
Pahang,P.079 Lipis,N.03 Padang Tengku,19407,667,606,2382,2314,2464,2397,1601,1451,1232,1276,942,971,373,445,102,159,14,11,19384,0,23,0,14057
Pahang,P.079 Lipis,N.04 Cheka,16822,545,463,2106,1688,2089,1873,1323,1182,1163,1172,850,930,389,482,172,274,66,55,15962,606,253,1,12585
Pahang,P.079 Lipis,N.05 Benta,10895,301,253,942,939,1201,1172,963,838,895,803,687,738,366,415,112,203,30,37,10875,0,19,1,8652
Pahang,P.080 Raub,N.06 Batu Talam,19683,542,536,2007,1998,2665,2644,1616,1444,1192,1330,1176,1193,461,489,114,203,29,44,19664,0,19,0,15188
Pahang,P.080 Raub,N.07 Tras,38329,1035,991,3684,3514,4225,3756,3487,3067,2973,2706,2339,2457,1375,1506,435,612,72,95,37987,36,304,2,28912
Pahang,P.080 Raub,N.08 Dong,17052,452,398,1624,1615,2097,1984,1503,1336,1394,1334,972,993,421,509,123,226,29,42,17030,0,18,4,13623
Pahang,P.081 Jerantut,N.09 Tahan,20895,735,750,2245,2228,2595,2474,2082,2026,1369,1300,759,900,489,601,115,182,18,27,20836,31,27,1,15197
Pahang,P.081 Jerantut,N.10 Damak,34967,1221,1116,4143,3916,4218,3918,2937,2706,2426,2363,1705,1712,891,978,265,352,48,52,34667,0,295,5,25164
Pahang,P.081 Jerantut,N.11 Pulau Tawar,31189,886,828,2892,2808,4355,4284,3438,3186,1688,1696,1013,1563,963,1183,183,188,12,23,31187,0,2,0,23248
Pahang,P.082 Indera Mahkota,N.12 Beserah,59370,2656,2545,7972,7543,6928,6515,4671,4908,3794,3936,2541,2651,968,1066,231,340,48,57,58456,807,99,8,38721
Pahang,P.082 Indera Mahkota,N.13 Semambu,61179,2644,2380,8137,7629,7372,7203,4777,5022,3510,4069,2797,3056,1032,993,193,293,31,41,60075,0,1096,8,38487
Pahang,P.083 Kuantan,N.14 Teruntum,30854,601,567,2448,2114,3408,2749,2644,2417,2563,2485,2417,2506,1328,1457,418,507,123,102,29284,31,1529,10,24746
Pahang,P.083 Kuantan,N.15 Tanjung Lumpur,38185,1522,1432,4975,4900,4538,4470,2887,2880,2265,2702,1812,1897,683,750,168,221,39,44,38182,0,0,3,25120
Pahang,P.083 Kuantan,N.16 Inderapura,18558,826,751,2373,2186,1955,2000,1607,1603,1359,1341,808,846,313,360,81,120,11,18,18558,0,0,0,12830
Pahang,P.084 Paya Besar,N.17 Sungai Lembing,19130,596,572,1831,1840,2167,2263,1877,1844,1325,1320,886,953,562,636,186,210,30,32,19110,0,19,1,14729
Pahang,P.084 Paya Besar,N.18 Lepar,25728,950,902,3011,3119,3425,3519,1733,1652,1423,1782,1617,1406,512,439,85,117,19,17,25658,30,39,1,17582
Pahang,P.084 Paya Besar,N.19 Panching,34886,1403,1366,4308,4151,4167,4131,3207,3145,2130,2161,1338,1559,676,767,147,193,18,19,34868,0,10,8,22824
Pahang,P.085 Pekan,N.20 Pulau Manis,30113,1184,1011,4631,3323,4874,3920,2805,2640,1453,1555,826,902,367,368,87,130,17,20,23587,6486,38,2,20389
Pahang,P.085 Pekan,N.21 Peramu Jaya,41915,1602,1389,5018,4801,4917,4898,3764,3679,2737,2994,1880,1994,726,930,173,319,44,50,41381,149,378,7,32291
Pahang,P.085 Pekan,N.22 Bebar,21294,954,895,2718,2707,2438,2516,1877,1783,1419,1334,796,784,324,417,77,164,44,47,21288,0,3,3,14968
Pahang,P.085 Pekan,N.23 Chini,26121,698,675,2755,2631,4300,4406,2206,2116,869,1346,1413,1565,562,397,68,83,13,18,26109,0,12,0,21251
Pahang,P.086 Maran,N.24 Luit,16279,560,507,1848,1723,1948,1895,1460,1327,1253,1164,737,743,339,464,102,164,26,19,16087,0,192,0,12284
Pahang,P.086 Maran,N.25 Kuala Sentul,17434,550,533,1577,1515,2086,2015,2013,1909,1330,1060,445,638,481,874,176,203,19,10,17423,0,9,2,13360
Pahang,P.086 Maran,N.26 Chenor,19415,585,552,1867,1898,2331,2223,1868,1852,1523,1438,778,838,440,707,158,300,20,37,19394,0,21,0,15392
Pahang,P.087 Kuala Krau,N.27 Jenderak,13994,505,439,1484,1412,1685,1682,1452,1329,922,942,526,671,309,380,69,142,24,21,13984,0,9,1,10569
Pahang,P.087 Kuala Krau,N.28 Kerdau,15184,438,404,1577,1490,1908,1935,1405,1347,919,1041,752,890,371,395,92,169,23,28,15173,0,11,0,11974
Pahang,P.087 Kuala Krau,N.29 Jengka,31359,953,903,2909,2803,4404,4359,3535,3344,1478,1432,914,1752,1141,1172,134,115,5,6,31335,0,23,1,24721
Pahang,P.088 Temerloh,N.30 Mentakab,37269,1348,1229,4689,4454,4274,4229,2701,2786,2363,2738,2035,2063,800,936,215,317,45,47,37209,0,57,3,25431
Pahang,P.088 Temerloh,N.31 Lanchang,32774,1027,972,3895,3513,4338,4076,2907,2924,2006,2056,1370,1711,676,760,174,277,42,50,31617,1135,19,3,23706
Pahang,P.088 Temerloh,N.32 Kuala Semantan,36786,1357,1243,4660,4236,4558,4391,3007,2894,2431,2416,1732,1732,675,757,224,352,54,67,35445,894,441,6,25944
Pahang,P.089 Bentong,N.33 Bilut,24286,636,604,2611,2180,2748,2323,2115,1851,2000,1869,1464,1477,757,891,274,396,40,50,23544,506,231,5,19101
Pahang,P.089 Bentong,N.34 Ketari,30758,870,812,3050,2898,3658,3453,2700,2585,2404,2260,1884,1831,844,886,236,304,36,47,30331,392,34,1,23506
Pahang,P.089 Bentong,N.35 Sabai,15643,457,455,1484,1429,1684,1660,1461,1393,1268,1146,884,919,411,570,157,195,41,29,15626,0,14,3,11971
Pahang,P.089 Bentong,N.36 Pelangai,16371,429,419,1450,1481,2034,1915,1633,1467,1168,1109,789,902,541,675,144,177,19,19,16339,0,28,4,12781
Pahang,P.090 Bera,N.37 Guai,24412,686,657,2209,2238,3165,2967,2639,2543,1571,1404,999,1288,756,858,167,224,16,25,24397,0,14,1,19353
Pahang,P.090 Bera,N.38 Triang,25891,807,735,2572,2413,2823,2635,2582,2243,2133,1960,1382,1311,735,949,255,298,27,31,25649,0,239,3,20083
Pahang,P.090 Bera,N.39 Kemayan,27366,909,655,3648,2770,4408,4133,2178,1993,1282,1523,1140,1325,613,568,91,87,23,20,23814,3521,26,5,19275
Pahang,P.091 Rompin,N.40 Bukit Ibam,31003,938,951,3128,3150,4660,4597,3056,3025,1256,1419,1220,1808,827,780,97,69,11,11,30674,297,32,0,22806
Pahang,P.091 Rompin,N.41 Muadzam Shah,29663,875,980,3413,3349,4766,4612,2274,2035,1211,1599,1607,1801,626,379,50,57,17,12,29620,0,43,0,20206
Pahang,P.091 Rompin,N.42 Tioman,28465,1054,1001,3684,3554,3658,3360,2234,2223,1931,1837,1204,1272,484,597,117,191,28,36,28200,0,262,3,18906
Selangor,P.092 Sabak Bernam,N.01 Sungai Air Tawar,19961,609,557,1974,1958,2277,2321,1785,1617,1584,1400,956,1127,522,764,148,272,40,50,19943,0,18,0,16274
Selangor,P.092 Sabak Bernam,N.02 Sabak,31648,978,959,3407,3329,3820,3745,2586,2573,2185,2386,1576,1706,684,1068,187,334,63,62,31608,6,33,1,24589
Selangor,P.093 Sungai Besar,N.03 Sungai Panjang,40465,1364,1310,4884,4636,5198,4851,3357,3222,2752,2789,1713,1863,761,1122,165,363,47,68,40164,0,300,1,30638
Selangor,P.093 Sungai Besar,N.04 Sekinchan,23917,574,580,2555,2250,2897,2595,2239,2086,2026,1844,1241,1250,576,710,154,273,17,50,23890,0,25,2,18101
Selangor,P.094 Hulu Selangor,N.05 Hulu Bernam,30189,931,848,2899,2998,3367,3359,2681,2635,2334,2256,1520,1674,771,1126,282,398,59,51,30147,0,40,2,22857
Selangor,P.094 Hulu Selangor,N.06 Kuala Kubu Baharu,39808,1255,1132,4430,4247,4500,4296,3303,3192,3107,3102,2180,2323,872,1030,268,401,73,97,38930,275,602,1,29133
Selangor,P.094 Hulu Selangor,N.07 Batang Kali,84320,4305,3925,12730,12013,8079,8493,5849,6767,6029,6319,3432,3393,1035,1175,240,397,51,88,83883,0,427,10,49000
Selangor,P.095 Tanjong Karang,N.08 Sungai Burong,31570,1025,953,3539,3313,3852,3621,2887,2738,2397,2252,1421,1531,603,882,145,318,48,45,31540,0,27,3,24045
Selangor,P.095 Tanjong Karang,N.09 Permatang,30624,963,899,3246,3080,3594,3399,2692,2679,2248,2216,1598,1751,707,937,162,317,76,60,30622,0,0,2,23153
Selangor,P.096 Kuala Selangor,N.10 Bukit Melawati,37649,1378,1234,4531,4330,4497,4325,3100,3148,2514,2677,1763,1908,726,936,168,289,67,58,37288,0,358,3,26573
Selangor,P.096 Kuala Selangor,N.11 Ijok,30344,1004,969,3281,3304,3422,3405,2670,2722,2307,2299,1457,1541,609,851,150,262,46,45,30324,0,19,1,23073
Selangor,P.096 Kuala Selangor,N.12 Jeram,34958,1857,1780,5004,4887,3342,3488,2674,2922,2489,2477,1265,1397,469,553,91,187,36,40,34941,0,14,3,19751
Selangor,P.097 Selayang,N.13 Kuang,44424,2391,2189,6469,6241,4425,4644,3239,3777,2909,2982,1648,1782,608,733,130,191,30,36,44390,0,33,1,26481
Selangor,P.097 Selayang,N.14 Rawang,75145,3339,2976,10017,9546,7393,7619,6026,6340,5305,5552,3529,3464,1365,1554,396,524,91,109,75030,34,71,10,46125
Selangor,P.097 Selayang,N.15 Taman Templer,61970,2140,2103,7004,6704,7348,6958,5049,5345,4477,4902,3297,3569,1057,1337,267,338,37,38,61461,0,506,3,43570
Selangor,P.098 Gombak,N.16 Sungai Tua,48640,1662,1558,5124,4915,5362,5388,4500,4554,3734,3685,2540,2779,1002,1259,187,295,56,40,48457,179,0,4,34180
Selangor,P.098 Gombak,N.17 Gombak Setia,86963,3318,3101,10868,10351,10568,10289,6953,7105,5436,5875,4069,4760,1667,1822,288,405,42,46,86813,36,81,33,55461
Selangor,P.098 Gombak,N.18 Hulu Kelang,71141,2166,1934,7096,6668,8143,7806,6613,6458,4891,5089,3769,4911,2045,2393,447,567,50,95,70962,0,138,41,51471
Selangor,P.099 Ampang,N.19 Bukit Antarabangsa,68503,2278,2119,7053,6756,6707,6725,5705,6119,5338,5579,4016,4358,1931,2256,542,794,93,134,68170,0,305,28,46537
Selangor,P.099 Ampang,N.20 Lembah Jaya,64991,2089,1975,7335,6994,7597,7471,5591,5698,4490,4898,3436,3946,1314,1459,250,381,29,38,64978,0,0,13,45200
Selangor,P.100 Pandan,N.21 Pandan Indah,70260,1965,1827,7320,6859,8565,7988,6289,6280,5221,5785,3980,4480,1378,1519,258,447,45,54,69664,0,574,22,49063
Selangor,P.100 Pandan,N.22 Teratai,78470,2313,2195,8068,7749,8565,8514,7257,7527,6086,6768,4075,4884,1547,1963,354,520,35,50,78456,0,0,14,52256
Selangor,P.101 Hulu Langat,N.23 Dusun Tua,73049,2527,2457,8752,8279,8835,8000,6016,5826,5093,5317,3845,3957,1471,1641,362,533,59,79,70785,0,2251,13,49106
Selangor,P.101 Hulu Langat,N.24 Semenyih,93853,5157,4749,13439,12910,9387,9449,7209,8024,6048,6356,3778,3821,1192,1457,274,466,53,84,93015,0,815,23,53257
Selangor,P.102 Bangi,N.25 Kajang,107100,4413,4139,13929,13269,11763,11605,8914,9292,6912,7807,4699,5222,1888,2085,469,564,62,68,106255,17,800,28,62170
Selangor,P.102 Bangi,N.26 Sungai Ramal,94255,4814,4623,13355,12838,10651,10281,7085,8035,5735,6309,3715,3923,1293,1179,148,222,22,27,93766,328,119,42,54961
Selangor,P.102 Bangi,N.27 Balakong,102075,4095,4056,12964,12024,10651,10575,8215,8950,6885,8016,5001,5284,1878,2210,441,686,51,93,102029,0,25,21,61659
Selangor,P.103 Puchong,N.28 Seri Kembangan,61996,1673,1590,6108,5778,6198,6182,6024,5764,5060,5184,3776,3903,1696,1860,440,651,48,61,61872,0,115,9,43611
Selangor,P.103 Puchong,N.29 Seri Serdang,90865,4376,4126,11997,11309,8851,8704,8691,9182,6556,6447,3363,3648,1325,1582,299,322,43,44,90554,38,258,15,52826
Selangor,P.104 Subang,N.30 Kinrara,120415,5178,4821,14625,13808,11555,11027,10915,11756,9840,10432,5510,5536,1868,2296,484,657,41,66,119557,182,644,32,72399
Selangor,P.104 Subang,N.31 Subang Jaya,110525,2696,2566,10951,10161,12272,11457,8708,9310,7845,9849,7787,8994,3202,3073,591,871,69,123,109580,0,878,67,74023
Selangor,P.105 Petaling Jaya,N.32 Seri Setia,79246,2553,2314,8666,7869,9521,8343,7323,7408,5828,6398,3830,4672,1542,1922,379,535,75,68,75632,3444,152,18,52650
Selangor,P.105 Petaling Jaya,N.33 Taman Medan,61585,1853,1824,6190,6074,6611,6649,6025,5833,4731,4694,3118,3881,1438,1707,321,471,65,100,61578,0,0,7,44731
Selangor,P.105 Petaling Jaya,N.34 Bukit Gasing,54317,816,738,2915,2678,3795,3603,4287,4228,4740,5195,4863,5453,3221,3797,1205,1912,386,485,53591,0,714,12,43539
Selangor,P.106 Damansara,N.35 Kampung Tunku,58510,870,790,2891,2764,3936,3792,4952,5191,5043,5562,4770,5837,3642,4543,1518,1839,227,343,58240,0,255,15,48601
Selangor,P.106 Damansara,N.36 Bandar Utama,72269,1707,1520,6050,5560,6935,6614,6486,6902,5444,6054,4934,6003,2993,3221,697,886,76,187,72055,0,197,17,51504
Selangor,P.106 Damansara,N.37 Bukit Lanjan,108324,4317,4070,13194,12346,11447,11442,9853,10859,7610,8466,4545,5100,1721,2146,459,624,44,81,108262,0,37,25,64217
